,Year,Acres,Latitude,Longitude,JANMAXTEMP,FEBMAXTEMP,MARMAXTEMP,JANMINTEMP,FEBMINTEMP,MARMINTEMP
1,2016,0.1,31.96098399,-85.45364558,13.26449871,21.95794678,20.74069595,-0.615952253,10.20292377,6.329313755
2,2016,0.08,31.95954399,-85.45713558,13.26449871,21.95794678,20.74069595,-0.615952253,10.20292377,6.329313755
3,2016,0.25,31.912614,-85.23845565,14.12960243,22.68822861,21.39684105,-0.402455509,10.23611069,6.453140259
4,2016,0.08,32.87823785,-87.12477006,11.36421871,20.30474854,20.09298325,-1.297602057,8.819023132,6.50159359
5,2016,0.12,32.84979986,-87.15441306,11.19637394,20.12733459,19.88039589,-1.422199607,8.648797989,6.367576122
6,2016,0.08,32.84699087,-87.30298301,11.03130531,19.97498512,19.73228836,-1.463786602,8.581375122,6.332243919
7,2016,0.08,32.86739985,-87.08555807,10.86728477,19.82172394,19.5427742,-1.609484196,8.358169556,6.10447979
8,2016,0.19,32.89203986,-87.41003198,10.92389584,19.94207573,19.70120239,-1.487594962,8.565660477,6.313855171
9,2016,0.08,32.87050486,-87.30537501,11.14517403,20.02695465,19.82957649,-1.394705176,8.628056526,6.406864643
10,2016,0.06,32.92435485,-87.31025801,10.89451408,19.85792351,19.63298225,-1.455962658,8.52989769,6.23342371
11,2016,0.19,32.86524986,-87.10360507,10.98014641,19.95911789,19.66597748,-1.538382888,8.465332985,6.203130722
12,2016,0.25,32.96843284,-87.38102699,11.12547302,20.02243614,19.84609032,-1.320538163,8.697267532,6.466770172
13,2016,0.2,32.86323485,-87.05183208,10.79901505,19.78100967,19.491745,-1.654234648,8.300855637,6.066519737
14,2016,0.06,32.87310486,-87.31387301,11.14517403,20.02695465,19.82957649,-1.394705176,8.628056526,6.406864643
15,2016,0.08,32.83809986,-87.11198507,11.07433701,19.99810982,19.76461411,-1.496482968,8.533382416,6.26146841
16,2016,0.19,32.86250486,-87.31876301,10.97842216,19.93953323,19.69635773,-1.454078794,8.567885399,6.311772346
17,2016,0.08,32.85142987,-87.31818701,10.97842216,19.93953323,19.69635773,-1.454078794,8.567885399,6.311772346
18,2016,0.08,32.86273286,-87.15410006,11.2437973,20.15310669,19.95104408,-1.381195545,8.70940876,6.424934387
19,2016,0.06,32.87179986,-87.19218704,11.57539749,20.3571434,20.19343567,-1.221690416,8.935418129,6.64125967
20,2016,0.38,32.84984587,-87.30556701,11.08187771,19.99914932,19.76988602,-1.430753112,8.608638763,6.342130184
21,2016,0.06,32.92393085,-87.38983699,10.84697437,19.87151146,19.58721924,-1.471771002,8.494223595,6.23913908
22,2016,0.19,32.89007086,-87.40609198,10.85391903,19.90928078,19.65402031,-1.521184325,8.529131889,6.299406528
23,2016,0.1,32.83871086,-87.18202205,11.48333931,20.33904457,20.12319183,-1.285133839,8.86871624,6.590978146
24,2016,0.19,32.89928286,-87.39059299,10.76265717,19.85404396,19.56665611,-1.536400914,8.471846581,6.231526375
25,2016,0.08,32.92443285,-87.31110201,10.89451408,19.85792351,19.63298225,-1.455962658,8.52989769,6.23342371
26,2016,0.06,32.89568286,-87.346042,10.81480312,19.86844444,19.60599899,-1.482455969,8.500402451,6.247445107
27,2016,0.06,32.93175985,-87.36457499,10.72010136,19.81530571,19.51083755,-1.509497285,8.422447205,6.191982746
28,2016,0.02,32.93964785,-87.37235499,10.95019341,19.89649391,19.66553497,-1.45760715,8.604307175,6.332150459
29,2016,0.06,32.85388286,-87.07237208,10.8150835,19.78377914,19.55379677,-1.637810946,8.288973808,6.060613155
30,2016,0.19,32.89843786,-87.39043199,10.76265717,19.85404396,19.56665611,-1.536400914,8.471846581,6.231526375
31,2016,0.19,32.87028285,-87.08196008,10.86728477,19.82172394,19.5427742,-1.609484196,8.358169556,6.10447979
32,2016,0.25,32.86523086,-87.10278807,10.98014641,19.95911789,19.66597748,-1.538382888,8.465332985,6.203130722
33,2016,0.02,32.89750786,-87.27756002,11.11094284,20.00874519,19.7888546,-1.392823577,8.623373985,6.336749077
34,2016,0.06,32.88971486,-87.362007,10.71323299,19.84358025,19.541399,-1.539533138,8.473220825,6.179904938
35,2016,0.1,32.99616484,-87.39020498,11.16914749,20.01897049,19.84885788,-1.312431812,8.679564476,6.470356464
36,2016,0.12,32.83854086,-87.18205705,11.48333931,20.33904457,20.12319183,-1.285133839,8.86871624,6.590978146
37,2016,0.5,32.94760484,-87.17704804,11.28966904,20.14034081,19.92786407,-1.279190421,8.730461121,6.46549654
38,2016,0.19,32.84959986,-87.18831505,11.36871719,20.28290939,20.06061363,-1.280804157,8.831348419,6.55158186
39,2016,0.08,32.85116586,-87.12598806,10.98869896,19.92021942,19.63083649,-1.570042133,8.477225304,6.170304775
40,2016,0.12,32.99198484,-87.316687,10.85512543,19.84658813,19.64059448,-1.406301856,8.548469543,6.274479866
41,2016,0.12,33.03283082,-87.22360203,11.13136005,19.93888283,19.78548431,-1.224098325,8.744643211,6.375174999
42,2016,0.08,32.89336986,-87.40419198,10.92389584,19.94207573,19.70120239,-1.487594962,8.565660477,6.313855171
43,2016,0.12,32.84946987,-87.29031302,11.13650799,20.03825569,19.81287003,-1.431083918,8.629723549,6.377224445
44,2016,0.1,32.86728985,-87.07437008,10.80112648,19.75290489,19.50550652,-1.62092793,8.307952881,6.050516605
45,2016,0.25,32.87715585,-87.10113807,11.16873741,20.09198952,19.87630081,-1.421607375,8.642258644,6.332562923
46,2016,0.02,33.01659383,-87.29221801,10.74306011,19.77235222,19.5085659,-1.405779362,8.482765198,6.207003593
47,2016,0.06,32.88792786,-87.335213,11.1241169,20.04895782,19.8429184,-1.374274731,8.672430992,6.396542072
